timestamp,work_order,product_code,machine_id,planned_qty,completed_qty,production_status
2024-01-01 09:00:00,WO20240101,PCODEC,MCH003,181,40,진행 중
2024-01-01 12:00:00,WO20240101,PCODEC,MCH002,181,89,진행 중
2024-01-01 15:00:00,WO20240101,PCODEC,MCH001,181,135,진행 중
2024-01-01 18:00:00,WO20240101,PCODEC,MCH001,181,181,완료
2024-01-02 09:00:00,WO20240102,PCODEA,MCH001,103,26,진행 중
2024-01-02 12:00:00,WO20240102,PCODEA,MCH004,103,48,진행 중
2024-01-02 15:00:00,WO20240102,PCODEA,MCH003,103,76,진행 중
2024-01-02 18:00:00,WO20240102,PCODEA,MCH001,103,103,완료
2024-01-03 09:00:00,WO20240103,PCODEB,MCH003,197,48,진행 중
2024-01-03 12:00:00,WO20240103,PCODEB,MCH003,197,95,진행 중
2024-01-03 15:00:00,WO20240103,PCODEB,MCH004,197,142,진행 중
2024-01-03 18:00:00,WO20240103,PCODEB,MCH003,197,225,초과 생산
2024-01-04 09:00:00,WO20240104,PCODEA,MCH004,177,44,진행 중
2024-01-04 12:00:00,WO20240104,PCODEA,MCH004,177,80,진행 중
2024-01-04 15:00:00,WO20240104,PCODEA,MCH003,177,130,진행 중
2024-01-04 18:00:00,WO20240104,PCODEA,MCH003,177,177,완료
2024-01-05 09:00:00,WO20240105,PCODEA,MCH001,173,46,진행 중
2024-01-05 12:00:00,WO20240105,PCODEA,MCH003,173,97,진행 중
2024-01-05 15:00:00,WO20240105,PCODEA,MCH002,173,146,진행 중
2024-01-05 18:00:00,WO20240105,PCODEA,MCH004,173,173,완료
2024-01-06 09:00:00,WO20240106,PCODEB,MCH002,135,31,진행 중
2024-01-06 12:00:00,WO20240106,PCODEB,MCH002,135,67,진행 중
2024-01-06 15:00:00,WO20240106,PCODEB,MCH001,135,102,진행 중
2024-01-06 18:00:00,WO20240106,PCODEB,MCH002,135,135,완료
2024-01-07 09:00:00,WO20240107,PCODEA,MCH004,168,39,진행 중
